,use_start_lng,use_start_lat
232,127.246459,36.494778
233,127.248791,36.496976
234,127.250118,36.495699
235,127.255052,36.49264
236,127.254081,36.492507
237,127.256191,36.490722
238,127.248722,36.495532
239,127.249401,36.493768
240,127.295283,36.478607
241,127.254865,36.474746
242,127.253187,36.475209
243,127.297462,36.482212
244,127.298353,36.482894
245,127.297137,36.482649
246,127.269095,36.481223
247,127.26861,36.482087
248,127.268625,36.48151
249,127.266194,36.485519
250,127.265278,36.486225
251,127.265018,36.487162
252,127.262704,36.495181
253,127.301409,36.487204
254,127.302012,36.487034
255,127.302129,36.487293
256,127.30001,36.491935
257,127.304452,36.492532
258,127.30418,36.492171
259,127.304154,36.491211
260,127.303937,36.490897
261,127.262,36.483099
262,127.26228,36.484577
263,127.258088,36.489306
264,127.256961,36.490977
265,127.258282,36.491393
266,127.259943,36.497628
267,127.260151,36.497901
268,127.262751,36.496759
269,127.263471,36.495997
270,127.265634,36.496111
271,127.289957,36.480167
272,127.265345,36.498407
273,127.264713,36.499512
274,127.262309,36.50198
275,127.265997,36.501462
276,127.263429,36.506202
277,127.267443,36.504548
278,127.255838,36.497316
279,127.258432,36.508184
280,127.255454,36.513898
281,127.264262,36.519649
282,127.267301,36.522272
283,127.266065,36.515344
284,127.273492,36.505807
285,127.27429,36.505758
286,127.304042,36.496106
287,127.250021,36.482426
288,127.262081,36.480312
289,127.262678,36.480336
290,127.261558,36.481014
291,127.26186,36.481461
292,127.255669,36.485127
293,127.257635,36.486579
294,127.255562,36.484743
295,127.254928,36.484807
296,127.25497,36.484967
297,127.256992,36.487081
298,127.256726,36.484572
299,127.256948,36.487992
300,127.255243,36.486866
301,127.255413,36.489045
302,127.255995,36.490854
303,127.253609,36.488251
304,127.253168,36.488107
305,127.256149,36.49357
306,127.252734,36.487647
307,127.256158,36.494057
308,127.251225,36.484847
309,127.259364,36.500987
310,127.259677,36.501739
311,127.260769,36.503985
312,127.260933,36.504349
313,127.261263,36.505084
314,127.261377,36.50535
315,127.261554,36.507543
316,127.259691,36.511538
317,127.252138,36.484322
318,127.258871,36.514066
319,127.25878,36.514595
320,127.248985,36.486916
321,127.240966,36.493701
322,127.242918,36.494065
323,127.239875,36.499373
324,127.260075,36.511757
325,127.261902,36.505376
326,127.251968,36.495781
327,127.261713,36.504864
328,127.261445,36.504057
329,127.261286,36.503896
330,127.259844,36.500817
