,날짜,use_end_lng,use_end_lat,최저기온(°C),최고기온(°C),강수유무,주간/주말,대여자수
2583,1213,127.241418,36.517565,8.74,7.48,0,1,2.63
3444,1213,127.257419,36.507592,8.74,7.48,0,1,-2.06
861,1213,127.269095,36.481223,8.74,7.48,0,1,-2.87
868,1213,127.301409,36.487204,8.74,7.48,0,1,8.51
3619,1213,127.271252,36.503824,8.74,7.48,0,1,26.99
679,1213,127.250624,36.48579,8.74,7.48,0,1,8.92
3626,1213,127.262159,36.487447,8.74,7.48,0,1,20.94
497,1213,127.317611,36.496058,8.74,7.48,0,1,14.52
3801,1213,127.23313,36.515171,8.74,7.48,0,1,1.68
504,1213,127.259281,36.514435,8.74,7.48,0,1,8.81
1897,1213,127.253419,36.481052,8.74,7.48,0,1,5.28
2408,1213,127.306277,36.495141,8.74,7.48,0,1,14.72
847,1213,127.246459,36.494778,8.74,7.48,0,1,1.81
3458,1213,127.249799,36.504512,8.74,7.48,0,1,9.47
3787,1213,127.2367,36.506601,8.74,7.48,0,1,2.99
518,1213,127.26509,36.524998,8.74,7.48,0,1,10.97
3864,1213,127.249809,36.519458,8.74,7.48,0,1,2.03
3780,1213,127.249656,36.498909,8.74,7.48,0,1,5.69
525,1213,127.29052,36.477336,8.74,7.48,0,1,40.13
3773,1213,127.252129,36.495453,8.74,7.48,0,1,8.8
532,1213,127.256811,36.49901,8.74,7.48,0,1,44.56
1883,1213,127.276779,36.472197,8.74,7.48,0,1,-0.1
686,1213,127.256033,36.485805,8.74,7.48,0,1,1.64
2422,1213,127.310773,36.494962,8.74,7.48,0,1,1.66
539,1213,127.268727,36.528448,8.74,7.48,0,1,1.67
3759,1213,127.250338,36.488113,8.74,7.48,0,1,3.94
546,1213,127.264281,36.487586,8.74,7.48,0,1,4.72
1876,1213,127.303227,36.495907,8.74,7.48,0,1,3.57
2429,1213,127.249105,36.502287,8.74,7.48,0,1,12.88
3808,1213,127.23724,36.520021,8.74,7.48,0,1,1.2
3752,1213,127.251332,36.485046,8.74,7.48,0,1,3.09
3766,1213,127.248148,36.493878,8.74,7.48,0,1,9.45
2415,1213,127.23453,36.519433,8.74,7.48,0,1,3.02
1890,1213,127.259123,36.476538,8.74,7.48,0,1,5.69
2401,1213,127.261328,36.488689,8.74,7.48,0,1,34.92
490,1213,127.266804,36.484644,8.74,7.48,0,1,-0.62
441,1213,127.245724,36.465209,8.74,7.48,0,1,7.73
3857,1213,127.250458,36.512605,8.74,7.48,0,1,3.71
448,1213,127.233067,36.520986,8.74,7.48,0,1,0.87
1925,1213,127.252411,36.493288,8.74,7.48,0,1,7.49
2380,1213,127.261899,36.508227,8.74,7.48,0,1,28.78
3850,1213,127.248956,36.511523,8.74,7.48,0,1,-0.39
455,1213,127.262043,36.507427,8.74,7.48,0,1,32.17
1687,1213,127.248697,36.484697,8.74,7.48,0,1,9.52
3843,1213,127.25001,36.509118,8.74,7.48,0,1,0.55
1918,1213,127.243401,36.493183,8.74,7.48,0,1,5.61
2387,1213,127.264454,36.52787,8.74,7.48,0,1,8.86
3836,1213,127.24962,36.506615,8.74,7.48,0,1,1.77
469,1213,127.26726,36.500524,8.74,7.48,0,1,7.17
3829,1213,127.247207,36.502186,8.74,7.48,0,1,2.84
2373,1213,127.247185,36.466008,8.74,7.48,0,1,0.12
1932,1213,127.245067,36.498814,8.74,7.48,0,1,-0.64
462,1213,127.247783,36.488171,8.74,7.48,0,1,1.17
3451,1213,127.257111,36.487465,8.74,7.48,0,1,11.4
749,1213,127.243896,36.505023,8.74,7.48,0,1,5.72
3094,1213,127.296539,36.487322,8.74,7.48,0,1,11.46
483,1213,127.245502,36.517797,8.74,7.48,0,1,0.47
3815,1213,127.239155,36.516902,8.74,7.48,0,1,1.23
1904,1213,127.251107,36.483183,8.74,7.48,0,1,2.7
2618,1213,127.247855,36.511842,8.74,7.48,0,1,22.19
553,1213,127.261558,36.491676,8.74,7.48,0,1,12.54
560,1213,127.264983,36.505644,8.74,7.48,0,1,46.23
2436,1213,127.321965,36.497709,8.74,7.48,0,1,15.77
623,1213,127.295439,36.478263,8.74,7.48,0,1,5.89
630,1213,127.2953,36.484876,8.74,7.48,0,1,9.83
1834,1213,127.267784,36.50953,8.74,7.48,0,1,-0.19
2471,1213,127.297858,36.482487,8.74,7.48,0,1,1.89
3668,1213,127.32453,36.491178,8.74,7.48,0,1,7.04
637,1213,127.307428,36.481462,8.74,7.48,0,1,8.25
3661,1213,127.29294,36.480135,8.74,7.48,0,1,0.57
644,1213,127.307528,36.482526,8.74,7.48,0,1,3.68
3822,1213,127.243793,36.501713,8.74,7.48,0,1,23.61
3675,1213,127.2884,36.480947,8.74,7.48,0,1,13.21
1827,1213,127.328434,36.501578,8.74,7.48,0,1,-0.33
3654,1213,127.260384,36.497497,8.74,7.48,0,1,12.91
658,1213,127.274299,36.469017,8.74,7.48,0,1,12.76
1820,1213,127.323865,36.497535,8.74,7.48,0,1,0.57
2485,1213,127.308087,36.481066,8.74,7.48,0,1,2.9
3640,1213,127.295035,36.481002,8.74,7.48,0,1,9.95
665,1213,127.25031,36.477601,8.74,7.48,0,1,16.36
3633,1213,127.259026,36.495499,8.74,7.48,0,1,31.36
672,1213,127.262328,36.479133,8.74,7.48,0,1,11.81
1813,1213,127.261847,36.499833,8.74,7.48,0,1,11.17
2492,1213,127.280487,36.475127,8.74,7.48,0,1,8.46
3682,1213,127.249473,36.519095,8.74,7.48,0,1,4.52
3745,1213,127.260369,36.479792,8.74,7.48,0,1,24.45
2464,1213,127.281104,36.477518,8.74,7.48,0,1,1.45
616,1213,127.29411,36.484045,8.74,7.48,0,1,6.53
1869,1213,127.307863,36.481517,8.74,7.48,0,1,0.16
1281,1213,127.2549,36.479357,8.74,7.48,0,1,2.53
2478,1213,127.235896,36.499667,8.74,7.48,0,1,1.67
3738,1213,127.251964,36.475565,8.74,7.48,0,1,4.67
651,1213,127.275669,36.471963,8.74,7.48,0,1,-0.92
3731,1213,127.272908,36.474216,8.74,7.48,0,1,-0.16
1862,1213,127.295293,36.485517,8.74,7.48,0,1,2.55
2443,1213,127.325279,36.496456,8.74,7.48,0,1,0.37
3724,1213,127.276688,36.472668,8.74,7.48,0,1,2.29
581,1213,127.248088,36.52161,8.74,7.48,0,1,-1.57
3717,1213,127.298701,36.490841,8.74,7.48,0,1,0.14
588,1213,127.305612,36.495824,8.74,7.48,0,1,18.21
1855,1213,127.30788,36.481427,8.74,7.48,0,1,3.1
574,1213,127.322201,36.493163,8.74,7.48,0,1,10.92
3710,1213,127.301179,36.486802,8.74,7.48,0,1,7.81
595,1213,127.322704,36.49318,8.74,7.48,0,1,3.33
3703,1213,127.297934,36.48315,8.74,7.48,0,1,10.29
602,1213,127.283304,36.486074,8.74,7.48,0,1,14.48
1848,1213,127.28909,36.480842,8.74,7.48,0,1,81.96
2457,1213,127.25492,36.499012,8.74,7.48,0,1,22.74
2450,1213,127.267659,36.527004,8.74,7.48,0,1,0.87
609,1213,127.266879,36.503281,8.74,7.48,0,1,3.88
3696,1213,127.291883,36.482037,8.74,7.48,0,1,3.92
2793,1213,127.249746,36.494938,8.74,7.48,0,1,12.67
3689,1213,127.323787,36.489735,8.74,7.48,0,1,2.13
3374,1213,127.256948,36.487992,8.74,7.48,0,1,12.4
931,1213,127.259691,36.511538,8.74,7.48,0,1,8.74
3367,1213,127.255669,36.485127,8.74,7.48,0,1,3.26
3052,1213,127.328582,36.50074,8.74,7.48,0,1,0.46
1253,1213,127.307691,36.480931,8.74,7.48,0,1,4.59
3045,1213,127.282449,36.468474,8.74,7.48,0,1,23.01
1260,1213,127.301434,36.493997,8.74,7.48,0,1,0.75
3647,1213,127.321606,36.490739,8.74,7.48,0,1,19.74
1519,1213,127.262678,36.480336,8.74,7.48,0,1,1.69
3038,1213,127.322671,36.496736,8.74,7.48,0,1,8.49
1267,1213,127.277055,36.472382,8.74,7.48,0,1,0.14
3031,1213,127.24139,36.516053,8.74,7.48,0,1,0.3
1274,1213,127.288415,36.479836,8.74,7.48,0,1,-2.86
1512,1213,127.267301,36.522272,8.74,7.48,0,1,-1.35
567,1213,127.320032,36.48552,8.74,7.48,0,1,4.73
1841,1213,127.259176,36.484292,8.74,7.48,0,1,47.35
2786,1213,127.251968,36.495781,8.74,7.48,0,1,21.24
3115,1213,127.274318,36.475098,8.74,7.48,0,1,1.0
3024,1213,127.295203,36.481535,8.74,7.48,0,1,3.97
3017,1213,127.256584,36.492734,8.74,7.48,0,1,25.36
2800,1213,127.251715,36.504355,8.74,7.48,0,1,15.16
3010,1213,127.264689,36.487647,8.74,7.48,0,1,10.77
1295,1213,127.250476,36.486842,8.74,7.48,0,1,10.86
3003,1213,127.240604,36.517274,8.74,7.48,0,1,1.95
1302,1213,127.257124,36.487564,8.74,7.48,0,1,15.88
1498,1213,127.262751,36.496759,8.74,7.48,0,1,28.49
2779,1213,127.25878,36.514595,8.74,7.48,0,1,14.22
2807,1213,127.260765,36.482946,8.74,7.48,0,1,31.19
1526,1213,127.25497,36.484967,8.74,7.48,0,1,1.81
3059,1213,127.287577,36.480599,8.74,7.48,0,1,15.49
1190,1213,127.322089,36.488489,8.74,7.48,0,1,17.58
1554,1213,127.260075,36.511757,8.74,7.48,0,1,16.3
2751,1213,127.26186,36.481461,8.74,7.48,0,1,3.52
3108,1213,127.280865,36.474907,8.74,7.48,0,1,11.3
1204,1213,127.3205,36.485792,8.74,7.48,0,1,10.25
1505,1213,127.265997,36.501462,8.74,7.48,0,1,-1.63
2996,1213,127.26201,36.507734,8.74,7.48,0,1,29.37
3101,1213,127.298603,36.489872,8.74,7.48,0,1,3.86
2394,1213,127.2666,36.489121,8.74,7.48,0,1,46.45
1211,1213,127.243292,36.51207,8.74,7.48,0,1,11.23
3087,1213,127.298771,36.483134,8.74,7.48,0,1,-0.08
1218,1213,127.263397,36.483728,8.74,7.48,0,1,9.68
1540,1213,127.259677,36.501739,8.74,7.48,0,1,69.51
2765,1213,127.256149,36.49357,8.74,7.48,0,1,39.19
3080,1213,127.286182,36.477736,8.74,7.48,0,1,8.33
1225,1213,127.317184,36.483881,8.74,7.48,0,1,3.01
3073,1213,127.255611,36.501082,8.74,7.48,0,1,18.12
1232,1213,127.288405,36.480258,8.74,7.48,0,1,-4.49
1533,1213,127.253609,36.488251,8.74,7.48,0,1,3.13
2772,1213,127.260933,36.504349,8.74,7.48,0,1,19.45
3066,1213,127.261637,36.509061,8.74,7.48,0,1,16.62
1239,1213,127.297308,36.479951,8.74,7.48,0,1,11.22
1246,1213,127.294893,36.485029,8.74,7.48,0,1,2.69
2758,1213,127.256726,36.484572,8.74,7.48,0,1,14.16
1547,1213,127.252138,36.484322,8.74,7.48,0,1,5.51
2989,1213,127.250582,36.481289,8.74,7.48,0,1,0.84
2926,1213,127.288709,36.4788,8.74,7.48,0,1,40.76
1428,1213,127.267945,36.508601,8.74,7.48,0,1,-2.81
1386,1213,127.243538,36.512167,8.74,7.48,0,1,25.27
1456,1213,127.301747,36.485021,8.74,7.48,0,1,7.9
2849,1213,127.250099,36.485967,8.74,7.48,0,1,2.48
2912,1213,127.254439,36.479888,8.74,7.48,0,1,2.38
1393,1213,127.252444,36.5114,8.74,7.48,0,1,2.06
1288,1213,127.248515,36.482801,8.74,7.48,0,1,5.92
2905,1213,127.329186,36.49894,8.74,7.48,0,1,5.09
1449,1213,127.273169,36.47094,8.74,7.48,0,1,-1.12
2856,1213,127.27964,36.47092,8.74,7.48,0,1,1.6
2898,1213,127.267595,36.506868,8.74,7.48,0,1,6.92
1407,1213,127.256521,36.516357,8.74,7.48,0,1,3.26
2891,1213,127.306808,36.496003,8.74,7.48,0,1,15.0
1414,1213,127.258799,36.514439,8.74,7.48,0,1,0.04
1442,1213,127.246134,36.491607,8.74,7.48,0,1,7.74
1400,1213,127.245395,36.516106,8.74,7.48,0,1,8.49
2919,1213,127.260262,36.508541,8.74,7.48,0,1,11.5
1379,1213,127.252735,36.501528,8.74,7.48,0,1,13.96
2863,1213,127.31053,36.497748,8.74,7.48,0,1,4.91
2884,1213,127.261514,36.504309,8.74,7.48,0,1,27.24
1435,1213,127.260127,36.501459,8.74,7.48,0,1,33.78
2842,1213,127.259576,36.513555,8.74,7.48,0,1,14.71
1309,1213,127.252106,36.492861,8.74,7.48,0,1,10.08
1463,1213,127.248791,36.496976,8.74,7.48,0,1,15.18
